# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Hemerson\Downloads\ProjetoRelogioDigital-master\ProjetoRelogioDigital-master\controle\controle.csv
# Generated on: Fri Jun 15 14:37:22 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
chaveSW0Controle,Input,PIN_N25,5,B5_N1,,,,
clockIn,Input,PIN_N2,2,B2_N1,,,,
conf,Input,PIN_V2,1,B1_N0,,,,
DisplayHEX0[6],Output,PIN_V13,8,B8_N0,,,,
DisplayHEX0[5],Output,PIN_V14,8,B8_N0,,,,
DisplayHEX0[4],Output,PIN_AE11,8,B8_N0,,,,
DisplayHEX0[3],Output,PIN_AD11,8,B8_N0,,,,
DisplayHEX0[2],Output,PIN_AC12,8,B8_N0,,,,
DisplayHEX0[1],Output,PIN_AB12,8,B8_N0,,,,
DisplayHEX0[0],Output,PIN_AF10,8,B8_N0,,,,
DisplayHEX1[6],Output,PIN_AB24,6,B6_N1,,,,
DisplayHEX1[5],Output,PIN_AA23,6,B6_N1,,,,
DisplayHEX1[4],Output,PIN_AA24,6,B6_N1,,,,
DisplayHEX1[3],Output,PIN_Y22,6,B6_N1,,,,
DisplayHEX1[2],Output,PIN_W21,6,B6_N1,,,,
DisplayHEX1[1],Output,PIN_V21,6,B6_N1,,,,
DisplayHEX1[0],Output,PIN_V20,6,B6_N1,,,,
DisplayHEX2[6],Output,PIN_Y24,6,B6_N1,,,,
DisplayHEX2[5],Output,PIN_AB25,6,B6_N1,,,,
DisplayHEX2[4],Output,PIN_AB26,6,B6_N1,,,,
DisplayHEX2[3],Output,PIN_AC26,6,B6_N1,,,,
DisplayHEX2[2],Output,PIN_AC25,6,B6_N1,,,,
DisplayHEX2[1],Output,PIN_V22,6,B6_N1,,,,
DisplayHEX2[0],Output,PIN_AB23,6,B6_N1,,,,
DisplayHEX3[6],Output,PIN_W24,6,B6_N1,,,,
DisplayHEX3[5],Output,PIN_U22,6,B6_N1,,,,
DisplayHEX3[4],Output,PIN_Y25,6,B6_N1,,,,
DisplayHEX3[3],Output,PIN_Y26,6,B6_N1,,,,
DisplayHEX3[2],Output,PIN_AA26,6,B6_N1,,,,
DisplayHEX3[1],Output,PIN_AA25,6,B6_N1,,,,
DisplayHEX3[0],Output,PIN_Y23,6,B6_N1,,,,
DisplayHEX4[6],Output,PIN_T3,1,B1_N0,,,,
DisplayHEX4[5],Output,PIN_R6,1,B1_N0,,,,
DisplayHEX4[4],Output,PIN_R7,1,B1_N0,,,,
DisplayHEX4[3],Output,PIN_T4,1,B1_N0,,,,
DisplayHEX4[2],Output,PIN_U2,1,B1_N0,,,,
DisplayHEX4[1],Output,PIN_U1,1,B1_N0,,,,
DisplayHEX4[0],Output,PIN_U9,1,B1_N0,,,,
DisplayHEX5[6],Output,PIN_R3,1,B1_N0,,,,
DisplayHEX5[5],Output,PIN_R4,1,B1_N0,,,,
DisplayHEX5[4],Output,PIN_R5,1,B1_N0,,,,
DisplayHEX5[3],Output,PIN_T9,1,B1_N0,,,,
DisplayHEX5[2],Output,PIN_P7,1,B1_N0,,,,
DisplayHEX5[1],Output,PIN_P6,1,B1_N0,,,,
DisplayHEX5[0],Output,PIN_T2,1,B1_N0,,,,
DisplayHEX6[6],Output,PIN_M4,2,B2_N1,,,,
DisplayHEX6[5],Output,PIN_M5,2,B2_N1,,,,
DisplayHEX6[4],Output,PIN_M3,2,B2_N1,,,,
DisplayHEX6[3],Output,PIN_M2,2,B2_N1,,,,
DisplayHEX6[2],Output,PIN_P3,1,B1_N0,,,,
DisplayHEX6[1],Output,PIN_P4,1,B1_N0,,,,
DisplayHEX6[0],Output,PIN_R2,1,B1_N0,,,,
DisplayHEX7[6],Output,PIN_N9,2,B2_N1,,,,
DisplayHEX7[5],Output,PIN_P9,2,B2_N1,,,,
DisplayHEX7[4],Output,PIN_L7,2,B2_N1,,,,
DisplayHEX7[3],Output,PIN_L6,2,B2_N1,,,,
DisplayHEX7[2],Output,PIN_L9,2,B2_N1,,,,
DisplayHEX7[1],Output,PIN_L2,2,B2_N1,,,,
DisplayHEX7[0],Output,PIN_L3,2,B2_N1,,,,
ledG0G1G2ModeEstado[2],Output,PIN_W19,7,B7_N0,,,,
ledG0G1G2ModeEstado[1],Output,PIN_AF22,7,B7_N0,,,,
ledG0G1G2ModeEstado[0],Output,PIN_AE22,7,B7_N0,,,,
ledG8AlarmeAtivo,Output,PIN_Y12,8,B8_N0,,,,
ledR1R0G7G6Alarma[3],Output,PIN_AA20,7,B7_N0,,,,
ledR1R0G7G6Alarma[2],Output,PIN_Y18,7,B7_N0,,,,
ledR1R0G7G6Alarma[1],Output,PIN_AF23,7,B7_N0,,,,
ledR1R0G7G6Alarma[0],Output,PIN_AE23,7,B7_N0,,,,
ledR17Config,Output,PIN_AD12,8,B8_N0,,,,
mode,Input,PIN_W26,6,B6_N1,,,,
reset,Input,PIN_G26,5,B5_N0,,,,
set,Input,PIN_N23,5,B5_N1,,,,
starStop,Input,PIN_P23,6,B6_N0,,,,
