# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: G:\Nova pasta\ProjetoRelogioDigital-master\controle\controle.csv
# Generated on: Tue Jun 12 23:35:08 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
clockIn,Input,PIN_N2,2,B2_N1,PIN_N2,,,,
conf,Input,PIN_V2,1,B1_N0,PIN_V2,,,,
DisplayHEX0[6],Output,PIN_V13,8,B8_N0,PIN_V13,,,,
DisplayHEX0[5],Output,PIN_V14,8,B8_N0,PIN_V14,,,,
DisplayHEX0[4],Output,PIN_AE11,8,B8_N0,PIN_AE11,,,,
DisplayHEX0[3],Output,PIN_AD11,8,B8_N0,PIN_AD11,,,,
DisplayHEX0[2],Output,PIN_AC12,8,B8_N0,PIN_AC12,,,,
DisplayHEX0[1],Output,PIN_AB12,8,B8_N0,PIN_AB12,,,,
DisplayHEX0[0],Output,PIN_AF10,8,B8_N0,PIN_AF10,,,,
DisplayHEX1[6],Output,PIN_AB24,6,B6_N1,PIN_AB24,,,,
DisplayHEX1[5],Output,PIN_AA23,6,B6_N1,PIN_AA23,,,,
DisplayHEX1[4],Output,PIN_AA24,6,B6_N1,PIN_AA24,,,,
DisplayHEX1[3],Output,PIN_Y22,6,B6_N1,PIN_Y22,,,,
DisplayHEX1[2],Output,PIN_W21,6,B6_N1,PIN_W21,,,,
DisplayHEX1[1],Output,PIN_V21,6,B6_N1,PIN_V21,,,,
DisplayHEX1[0],Output,PIN_V20,6,B6_N1,PIN_V20,,,,
DisplayHEX2[6],Output,PIN_Y24,6,B6_N1,PIN_Y24,,,,
DisplayHEX2[5],Output,PIN_AB25,6,B6_N1,PIN_AB25,,,,
DisplayHEX2[4],Output,PIN_AB26,6,B6_N1,PIN_AB26,,,,
DisplayHEX2[3],Output,PIN_AC26,6,B6_N1,PIN_AC26,,,,
DisplayHEX2[2],Output,PIN_AC25,6,B6_N1,PIN_AC25,,,,
DisplayHEX2[1],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
DisplayHEX2[0],Output,PIN_AB23,6,B6_N1,PIN_AB23,,,,
DisplayHEX3[6],Output,PIN_W24,6,B6_N1,PIN_W24,,,,
DisplayHEX3[5],Output,PIN_U22,6,B6_N1,PIN_U22,,,,
DisplayHEX3[4],Output,PIN_Y25,6,B6_N1,PIN_Y25,,,,
DisplayHEX3[3],Output,PIN_Y26,6,B6_N1,PIN_Y26,,,,
DisplayHEX3[2],Output,PIN_AA26,6,B6_N1,PIN_AA26,,,,
DisplayHEX3[1],Output,PIN_AA25,6,B6_N1,PIN_AA25,,,,
DisplayHEX3[0],Output,PIN_Y23,6,B6_N1,PIN_Y23,,,,
